,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMS_down0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,1083184.0,708572.0,1507.0
ttbar,11876.17,8052.43,10.37
qcd,699309.5,454503.77,1073.06
hbb,70.74,62.16,5.75
Zto2Q,7457.7,5926.69,224.97
Wto2Q,9685.22,7328.65,8.1
Zto2Q_BB,2339.78,2187.71,217.18
Zto2Q_CC,1104.25,1048.34,3.47
Zto2Q_QQ,588.8,547.6,0.06
Zto2Q_unmatched,3424.87,2143.05,4.26
