,Skimmer Preselection,HLT,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMS_up0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,6287466.0,6287466.0,2229933.0,1331150.0,5549.0
ttbar,65282.94,65282.94,18773.94,9027.44,27.05
qcd,4381637.28,4381637.28,1599270.9,960998.98,4903.69
hbb,431.59,431.59,166.1,144.02,17.59
Zto2Q,45814.95,45814.95,14752.45,10863.24,467.8
Wto2Q,64020.52,64020.52,20778.81,14802.08,33.51
Zto2Q_BB,14719.31,14719.31,4678.85,3957.21,433.93
Zto2Q_CC,7187.7,7187.7,2404.53,2130.24,18.26
Zto2Q_QQ,4486.37,4486.37,1471.93,1269.06,0.54
Zto2Q_unmatched,19421.57,19421.57,6197.14,3506.73,15.07
