,Skimmer Preselection,HLT,350 ≤ bbFatJetPt_JES_up0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,6287466.0,5861759.0,1083184.0,708572.0,635.0
ttbar,65282.94,55303.46,11447.94,7803.75,1.76
qcd,4381637.28,4137336.5,699309.5,454503.77,330.08
hbb,431.59,383.34,66.57,58.0,5.75
Zto2Q,45814.95,42134.15,7123.46,5663.08,194.0
Wto2Q,64020.52,60301.95,9237.79,6996.47,4.32
Zto2Q_BB,14719.31,13170.37,2227.1,2088.17,191.15
Zto2Q_CC,7187.7,6573.96,1053.94,1001.78,1.76
Zto2Q_QQ,4486.37,4302.82,556.46,518.15,0.0
Zto2Q_unmatched,19421.57,18087.0,3285.96,2054.97,1.09
