,Skimmer Preselection,HLT,550 ≤ bbFatJetPt_JER_down0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,6287466.0,5861759.0,1906555.0,1005881.0,3861.0
ttbar,65282.94,55303.46,18206.53,6376.89,18.95
qcd,4381637.28,4137336.5,1447504.78,770543.98,3482.7
hbb,431.59,383.34,126.11,108.99,13.78
Zto2Q,45814.95,42134.15,15321.62,9971.76,415.3
Wto2Q,64020.52,60301.95,23896.76,16216.75,52.71
Zto2Q_BB,14719.31,13170.37,4893.92,3542.23,378.08
Zto2Q_CC,7187.7,6573.96,2477.48,1989.26,27.31
Zto2Q_QQ,4486.37,4302.82,1933.09,1542.09,1.43
Zto2Q_unmatched,19421.57,18087.0,6017.12,2898.18,8.48
