,Skimmer Preselection,HLT,550 ≤ bbFatJetPt_JER_down0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,6287466.0,5861759.0,1906555.0,1005881.0,1437.0
ttbar,65282.94,55303.46,18206.53,6376.89,1.74
qcd,4381637.28,4137336.5,1447504.78,770543.98,714.64
hbb,431.59,383.34,126.11,108.99,18.2
Zto2Q,45814.95,42134.15,15321.62,9971.76,628.31
Wto2Q,64020.52,60301.95,23896.76,16216.75,13.39
Zto2Q_BB,14719.31,13170.37,4893.92,3542.23,611.42
Zto2Q_CC,7187.7,6573.96,2477.48,1989.26,13.96
Zto2Q_QQ,4486.37,4302.82,1933.09,1542.09,0.34
Zto2Q_unmatched,19421.57,18087.0,6017.12,2898.18,2.6
