,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMS_down0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,2229933.0,1331150.0,2924.0
ttbar,18773.94,9192.71,10.17
qcd,1599270.9,960998.98,2244.03
hbb,166.1,144.75,19.52
Zto2Q,14752.45,10905.2,444.47
Wto2Q,20778.81,14840.6,11.57
Zto2Q_BB,4678.85,3976.08,425.53
Zto2Q_CC,2404.53,2136.29,11.71
Zto2Q_QQ,1471.93,1272.59,0.59
Zto2Q_unmatched,6197.14,3520.25,6.64
