,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMS_up0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,2229933.0,1331150.0,1473.0
ttbar,18773.94,9027.44,2.23
qcd,1599270.9,960998.98,793.98
hbb,166.1,144.02,15.89
Zto2Q,14752.45,10863.24,487.35
Wto2Q,20778.81,14802.08,10.63
Zto2Q_BB,4678.85,3957.21,480.21
Zto2Q_CC,2404.53,2130.24,5.29
Zto2Q_QQ,1471.93,1269.06,0.27
Zto2Q_unmatched,6197.14,3506.73,1.58
