,Skimmer Preselection,HLT,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,6287466.0,6287466.0,2229933.0,1331150.0,1473.0
ttbar,65282.94,65282.94,18773.94,9070.09,2.23
qcd,4381637.28,4381637.28,1599270.9,960998.98,793.98
hbb,431.59,431.59,166.1,144.6,15.83
Zto2Q,45814.95,45814.95,14752.45,10879.55,487.41
Wto2Q,64020.52,64020.52,20778.81,14824.55,10.63
Zto2Q_BB,14719.31,14719.31,4678.85,3963.58,480.27
Zto2Q_CC,7187.7,7187.7,2404.53,2132.76,5.29
Zto2Q_QQ,4486.37,4486.37,1471.93,1269.77,0.27
Zto2Q_unmatched,19421.57,19421.57,6197.14,3513.43,1.58
