,Skimmer Preselection,HLT,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMS_up0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,6287466.0,6287466.0,1906555.0,1005881.0,3861.0
ttbar,65282.94,65282.94,18218.63,6322.65,18.74
qcd,4381637.28,4381637.28,1447504.78,770543.98,3482.7
hbb,431.59,431.59,126.08,108.66,13.73
Zto2Q,45814.95,45814.95,15329.3,9958.37,415.97
Wto2Q,64020.52,64020.52,23905.83,16199.11,52.71
Zto2Q_BB,14719.31,14719.31,4896.14,3535.62,378.49
Zto2Q_CC,7187.7,7187.7,2478.96,1988.28,27.45
Zto2Q_QQ,4486.37,4486.37,1934.14,1540.87,1.43
Zto2Q_unmatched,19421.57,19421.57,6020.06,2893.6,8.59
