,Skimmer Preselection,HLT,450 ≤ bbFatJetPt_JER_down0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,6287466.0,6287466.0,2229933.0,1331150.0,1473.0
ttbar,65282.94,65282.94,18785.43,9098.94,2.23
qcd,4381637.28,4381637.28,1599270.9,960998.98,793.98
hbb,431.59,431.59,166.14,144.33,15.89
Zto2Q,45814.95,45814.95,14767.65,10891.56,487.75
Wto2Q,64020.52,64020.52,20787.41,14820.39,10.63
Zto2Q_BB,14719.31,14719.31,4684.42,3970.74,480.62
Zto2Q_CC,7187.7,7187.7,2406.54,2136.06,5.29
Zto2Q_QQ,4486.37,4486.37,1472.35,1269.74,0.27
Zto2Q_unmatched,19421.57,19421.57,6204.35,3515.02,1.58
