,Skimmer Preselection,HLT,550 ≤ bbFatJetPt_JER_up0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,6287466.0,6287466.0,1906555.0,1005881.0,1437.0
ttbar,65282.94,65282.94,18230.77,6385.84,1.74
qcd,4381637.28,4381637.28,1447504.78,770543.98,714.64
hbb,431.59,431.59,126.1,108.98,18.29
Zto2Q,45814.95,45814.95,15333.31,9980.01,628.28
Wto2Q,64020.52,64020.52,23915.84,16228.49,12.61
Zto2Q_BB,14719.31,14719.31,4897.42,3544.96,611.39
Zto2Q_CC,7187.7,7187.7,2480.01,1992.16,13.96
Zto2Q_QQ,4486.37,4486.37,1935.93,1544.05,0.34
Zto2Q_unmatched,19421.57,19421.57,6019.96,2898.85,2.6
