,Skimmer Preselection,HLT,550 ≤ bbFatJetPt_JES_down0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,6287466.0,5861759.0,1906555.0,1005881.0,1437.0
ttbar,65282.94,55303.46,17745.5,6186.9,1.69
qcd,4381637.28,4137336.5,1447504.78,770543.98,714.64
hbb,431.59,383.34,121.66,105.2,17.41
Zto2Q,45814.95,42134.15,14853.3,9639.83,613.1
Wto2Q,64020.52,60301.95,23160.09,15706.02,12.61
Zto2Q_BB,14719.31,13170.37,4737.67,3415.75,596.36
Zto2Q_CC,7187.7,6573.96,2398.89,1922.44,13.8
Zto2Q_QQ,4486.37,4302.82,1882.52,1500.47,0.34
Zto2Q_unmatched,19421.57,18087.0,5834.22,2801.18,2.6
