,Skimmer Preselection,HLT,550 ≤ bbFatJetPt_JER_up0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,6287466.0,6287466.0,1906555.0,1005881.0,3861.0
ttbar,65282.94,65282.94,18230.77,6385.84,18.97
qcd,4381637.28,4381637.28,1447504.78,770543.98,3482.7
hbb,431.59,431.59,126.1,108.98,13.79
Zto2Q,45814.95,45814.95,15333.31,9980.01,416.36
Wto2Q,64020.52,64020.52,23915.84,16228.49,52.71
Zto2Q_BB,14719.31,14719.31,4897.42,3544.96,378.88
Zto2Q_CC,7187.7,7187.7,2480.01,1992.16,27.45
Zto2Q_QQ,4486.37,4486.37,1935.93,1544.05,1.43
Zto2Q_unmatched,19421.57,19421.57,6019.96,2898.85,8.59
