,Skimmer Preselection,HLT,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,6287466.0,5861759.0,1083184.0,708572.0,1507.0
ttbar,65282.94,55303.46,11876.17,8002.63,10.31
qcd,4381637.28,4137336.5,699309.5,454503.77,1073.06
hbb,431.59,383.34,70.74,61.94,5.75
Zto2Q,45814.95,42134.15,7457.7,5919.73,224.97
Wto2Q,64020.52,60301.95,9685.22,7317.08,8.1
Zto2Q_BB,14719.31,13170.37,2339.78,2185.63,217.18
Zto2Q_CC,7187.7,6573.96,1104.25,1046.65,3.47
Zto2Q_QQ,4486.37,4302.82,588.8,546.49,0.06
Zto2Q_unmatched,19421.57,18087.0,3424.87,2140.96,4.26
