,Skimmer Preselection,HLT,450 ≤ bbFatJetPt_JES_down0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,6287466.0,5861759.0,2229933.0,1331150.0,1473.0
ttbar,65282.94,55303.46,18600.21,8917.78,2.16
qcd,4381637.28,4137336.5,1599270.9,960998.98,793.98
hbb,431.59,383.34,164.97,143.05,16.49
Zto2Q,45814.95,42134.15,14716.39,10822.53,488.23
Wto2Q,64020.52,60301.95,20864.63,14848.06,10.53
Zto2Q_BB,14719.31,13170.37,4670.3,3948.66,481.72
Zto2Q_CC,7187.7,6573.96,2404.57,2129.77,4.67
Zto2Q_QQ,4486.37,4302.82,1477.77,1271.37,0.27
Zto2Q_unmatched,19421.57,18087.0,6163.74,3472.74,1.58
