,350 ≤ bbFatJetPt_JER_down0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,1083184.0,708572.0,3196.0
ttbar,11880.57,8006.61,29.3
qcd,699309.5,454503.77,2581.31
hbb,70.67,61.81,8.05
Zto2Q,7454.38,5917.19,260.94
Wto2Q,9673.61,7301.27,11.45
Zto2Q_BB,2338.15,2184.1,245.22
Zto2Q_CC,1103.43,1046.15,7.08
Zto2Q_QQ,590.11,547.46,0.5
Zto2Q_unmatched,3422.69,2139.48,8.13
