,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,1083184.0,708572.0,3196.0
ttbar,11876.17,7997.96,29.12
qcd,699309.5,454503.77,2581.31
hbb,70.74,62.19,8.05
Zto2Q,7457.7,5924.17,260.47
Wto2Q,9685.22,7324.91,11.45
Zto2Q_BB,2339.78,2185.8,244.86
Zto2Q_CC,1104.25,1047.78,6.97
Zto2Q_QQ,588.8,546.44,0.5
Zto2Q_unmatched,3424.87,2144.15,8.13
