,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,1906555.0,1005881.0,3861.0
ttbar,18218.63,6346.3,18.98
qcd,1447504.78,770543.98,3482.7
hbb,126.08,109.44,13.86
Zto2Q,15329.3,9972.92,416.35
Wto2Q,23905.83,16213.48,52.71
Zto2Q_BB,4896.14,3540.78,378.74
Zto2Q_CC,2478.96,1990.46,27.45
Zto2Q_QQ,1934.14,1542.26,1.43
Zto2Q_unmatched,6020.06,2899.42,8.72
