,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMS_down0 < 150.0,0.1 ≤ bbFatJetParTTXbb0 < 0.9
data,1906555.0,1005881.0,355440.0
ttbar,18218.63,6458.47,4659.81
qcd,1447504.78,770543.98,304423.98
hbb,126.08,109.44,44.96
Zto2Q,15329.3,10001.07,4050.26
Wto2Q,23905.83,16233.09,5294.63
Zto2Q_BB,4896.14,3553.89,1607.17
Zto2Q_CC,2478.96,1995.27,945.99
Zto2Q_QQ,1934.14,1544.51,346.53
Zto2Q_unmatched,6020.06,2907.39,1150.57
