,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,1906555.0,1005881.0,1437.0
ttbar,18218.63,6346.3,1.79
qcd,1447504.78,770543.98,714.64
hbb,126.08,109.44,18.23
Zto2Q,15329.3,9972.92,628.32
Wto2Q,23905.83,16213.48,13.39
Zto2Q_BB,4896.14,3540.78,611.43
Zto2Q_CC,2478.96,1990.46,13.96
Zto2Q_QQ,1934.14,1542.26,0.34
Zto2Q_unmatched,6020.06,2899.42,2.6
