#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
360224:8253,10/12/22 01:08:53,216,216,0.083298718,0.077097498
360225:8253,10/12/22 02:42:17,347,347,0.144323706,0.134390337
360295:8260,10/13/22 02:45:03,1403,1403,0.527198188,0.505674170
360296:8260,10/13/22 12:07:36,519,519,0.136027219,0.131649125
360327:8263,10/14/22 00:26:23,349,349,0.136802386,0.130623814
360390:8267,10/14/22 20:29:39,71,71,0.027213613,0.026124683
360391:8267,10/14/22 21:01:37,4,4,0.001716142,0.001518744
360392:8267,10/14/22 21:10:16,61,61,0.025356813,0.023957242
360393:8267,10/14/22 21:36:29,124,124,0.052177632,0.048985637
360400:8269,10/15/22 02:47:39,80,80,0.024828348,0.023714826
360413:8272,10/15/22 09:30:38,88,88,0.036439608,0.034719838
360428:8273,10/15/22 13:03:02,72,72,0.028555801,0.026825789
360432:8273,10/15/22 13:53:32,28,28,0.011865409,0.011139027
360435:8273,10/15/22 14:15:34,48,48,0.019968838,0.018669000
360437:8273,10/15/22 14:45:40,40,40,0.016873563,0.016219057
360438:8273,10/15/22 15:05:14,6,6,0.002509526,0.002350541
360458:8274,10/15/22 20:24:36,184,184,0.068130152,0.064280677
360459:8274,10/15/22 21:47:03,1332,1332,0.474696725,0.455182588
360460:8274,10/16/22 06:28:58,1077,1077,0.239835274,0.232248838
360486:8276,10/16/22 17:01:39,278,278,0.114044111,0.107828935
360490:8276,10/16/22 19:59:13,1172,1172,0.380309112,0.363636167
360491:8276,10/17/22 03:43:58,176,176,0.041058394,0.039674830
360737:8289,10/19/22 10:35:46,18,18,0.000864103,0.000848257
360761:8293,10/19/22 15:02:58,157,157,0.009215753,0.009040481
360794:8295,10/19/22 23:57:32,677,677,0.278749914,0.265807247
360795:8295,10/20/22 04:25:12,395,395,0.148347163,0.142314079
360797:8295,10/20/22 10:44:41,5,5,0.001364346,0.001331782
360820:8297,10/20/22 13:48:59,885,885,0.363540031,0.345197319
360825:8297,10/20/22 20:18:00,357,357,0.118561010,0.113198388
360826:8297,10/20/22 22:40:05,117,117,0.035193936,0.033545051
360856:8299,10/21/22 11:12:55,56,56,0.003141094,0.003046684
360874:8301,10/21/22 16:54:00,52,52,0.003118038,0.003015739
360876:8301,10/21/22 17:32:24,341,341,0.021504260,0.020961668
360887:8302,10/21/22 22:37:33,122,122,0.045570707,0.042669329
360888:8302,10/21/22 23:28:39,289,289,0.127508243,0.121034559
360889:8302,10/22/22 01:26:51,23,23,0.010125069,0.008549121
360890:8302,10/22/22 01:43:25,498,498,0.194042986,0.185732999
360892:8302,10/22/22 05:12:51,296,296,0.095857833,0.092324484
360895:8302,10/22/22 07:34:19,700,700,0.180557544,0.175331545
360919:8304,10/22/22 16:02:11,796,796,0.337151072,0.320455648
360920:8304,10/22/22 21:13:18,4,4,0.001597803,0.001361331
360921:8304,10/22/22 21:17:35,218,218,0.082272681,0.078626577
360927:8305,10/23/22 01:07:11,1887,1887,0.683526419,0.653570576
360941:8306,10/23/22 15:40:28,72,72,0.026202597,0.024774096
360942:8306,10/23/22 16:14:08,344,344,0.148741878,0.140452648
360945:8306,10/23/22 18:45:57,91,91,0.039214998,0.037027297
360946:8306,10/23/22 19:27:46,364,364,0.147489584,0.140509218
360948:8306,10/23/22 22:02:16,119,119,0.042838873,0.041029674
360950:8306,10/23/22 22:53:44,708,708,0.214991796,0.206471289
360951:8306,10/24/22 03:37:03,186,186,0.044908444,0.043269303
360991:8307,10/24/22 10:26:00,230,230,0.027536143,0.026559006
360992:8307,10/24/22 11:58:16,99,99,0.010985449,0.010715993
361020:8309,10/24/22 17:05:24,397,397,0.026741651,0.025566229
361044:8311,10/25/22 00:03:59,125,125,0.048625967,0.045717848
361045:8311,10/25/22 00:55:10,945,945,0.393792986,0.374202713
361050:8311,10/25/22 07:24:54,10,10,0.003490903,0.003135028
361052:8311,10/25/22 07:34:36,65,65,0.021734933,0.020606209
361054:8311,10/25/22 08:06:43,461,461,0.136341685,0.130587943
361083:8312,10/25/22 14:24:52,54,54,0.007544232,0.007088490
361091:8313,10/25/22 16:40:42,381,381,0.050899230,0.049382579
361105:8314,10/25/22 23:35:51,408,408,0.147798787,0.140271038
361106:8314,10/26/22 02:21:10,31,31,0.011296438,0.010513599
361107:8314,10/26/22 02:35:30,156,156,0.057795901,0.054759989
361108:8314,10/26/22 03:38:10,6,6,0.002274180,0.002061992
361110:8314,10/26/22 03:43:42,197,197,0.068884368,0.064906896
361188:8315,10/26/22 18:31:47,141,141,0.060622643,0.054129124
361193:8315,10/26/22 19:27:43,29,29,0.012391055,0.010965603
361195:8315,10/26/22 19:41:33,20,20,0.008696332,0.007869450
361197:8315,10/26/22 19:58:35,2147,2147,0.733479009,0.677599670
361223:8316,10/27/22 13:21:52,693,693,0.293842461,0.269887685
361239:8317,10/27/22 20:30:03,1045,1045,0.437802517,0.418192493
361240:8317,10/28/22 03:22:51,1015,1015,0.300482566,0.289529036
361272:8319,10/28/22 12:59:35,125,125,0.052070028,0.049691618
361280:8319,10/28/22 13:56:59,267,267,0.115310632,0.109395166
361283:8319,10/28/22 15:46:07,26,26,0.011233002,0.010569163
361284:8319,10/28/22 16:01:19,36,36,0.015342110,0.014654333
361297:8320,10/28/22 20:09:25,930,930,0.394951903,0.376030137
361303:8321,10/29/22 06:03:41,2230,2230,0.797148723,0.763467956
