#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
357756:8147,08/20/22 23:44:38,422,422,0.156587664,0.147128000
357757:8147,08/21/22 02:31:13,7,7,0.002349567,0.002110935
357758:8147,08/21/22 02:37:20,81,81,0.026514564,0.025170244
357759:8147,08/21/22 03:12:43,68,68,0.021368263,0.020434599
357766:8148,08/21/22 07:27:46,115,115,0.041358883,0.036685634
357777:8148,08/21/22 14:05:36,85,85,0.023829366,0.023178791
357778:8148,08/21/22 14:43:18,352,352,0.089635350,0.086199204
357779:8148,08/21/22 17:05:47,74,74,0.017302299,0.016779504
357781:8148,08/21/22 17:44:36,7,7,0.001607461,0.001503446
357802:8149,08/21/22 20:59:37,163,163,0.057091934,0.052879659
357803:8149,08/21/22 22:05:02,153,153,0.055703877,0.052558136
357804:8149,08/21/22 23:06:52,23,23,0.008399467,0.007676499
357805:8149,08/21/22 23:17:38,85,85,0.030176843,0.028497853
357806:8149,08/21/22 23:53:44,56,56,0.016791996,0.015570060
357807:8149,08/22/22 00:20:46,242,242,0.080859600,0.077760586
357808:8149,08/22/22 01:57:54,15,15,0.004659190,0.004306084
357809:8149,08/22/22 02:06:38,41,41,0.012705892,0.012018093
357812:8149,08/22/22 02:23:37,50,50,0.015217815,0.014521098
357813:8149,08/22/22 02:44:13,290,290,0.082341659,0.078607977
357814:8149,08/22/22 04:39:13,212,212,0.054551168,0.050887257
357815:8149,08/22/22 06:04:22,944,944,0.199162842,0.193992442
357898:8151,08/23/22 02:26:33,312,312,0.112016133,0.105071805
357899:8151,08/23/22 04:29:12,637,637,0.195384860,0.186117035
357900:8151,08/23/22 08:38:20,513,513,0.122810599,0.117234434
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#33,116,29861,29861,7.741607385,7.399935622
#Check JSON:
#(run,ls) in json but not in results: []
