,2 ≤ Category < 3
data,264.0
hh4b,1.77
vbfhh4b-k2v0,8.09
qcd,91.82
ttbar,70.34
gghtobb,1.39
vbfhtobb,0.05
vhtobb,3.59
novhhtobb,1.44
tthtobb,3.36
diboson,1.03
vjets,4.84
