,3 ≤ Category < 4
data,8876.0
hh4b,2.01
vbfhh4b-k2v0,18.24
qcd,3122.54
ttbar,3052.13
gghtobb,4.2
vbfhtobb,0.19
vhtobb,14.6
novhhtobb,4.39
tthtobb,18.14
diboson,22.35
vjets,155.84
