,0 ≤ Category < 1
data,21.0
hh4b,0.44
vbfhh4b-k2v0,27.15
qcd,7.51
ttbar,7.37
gghtobb,0.16
vbfhtobb,0.03
vhtobb,0.9
novhhtobb,0.19
tthtobb,0.36
diboson,0.19
vjets,0.47
