,1 ≤ Category < 2
data,21.0
hh4b,0.66
vbfhh4b-k2v0,1.67
qcd,1.11
ttbar,4.76
gghtobb,0.07
vbfhtobb,0.03
vhtobb,1.12
novhhtobb,0.1
tthtobb,0.24
diboson,0.06
vjets,0.34
