,4 ≤ Category < 5
data,1194945.0
hh4b,4.38
vbfhh4b-k2v0,32.93
qcd,760050.68
ttbar,92553.9
gghtobb,580.59
vbfhtobb,85.9
vhtobb,283.96
novhhtobb,666.49
tthtobb,295.98
diboson,781.27
vjets,23085.43
