,2 ≤ Category < 3
data,372.0
hh4b,1.67
vbfhh4b-k2v0,19.7
qcd,198.7
ttbar,92.99
gghtobb,1.73
vbfhtobb,0.09
vhtobb,4.48
tthtobb,4.16
others,11.19
