,3 ≤ Category < 4
data,9724.0
hh4b,1.89
vbfhh4b-k2v0,25.44
qcd,2753.86
ttbar,3027.95
gghtobb,4.0
vbfhtobb,0.21
vhtobb,14.76
tthtobb,17.88
others,200.86
