,4 ≤ Category < 5
data,1312334.0
hh4b,4.43
vbfhh4b-k2v0,35.26
qcd,814259.11
ttbar,87636.62
gghtobb,579.5
vbfhtobb,86.9
vhtobb,284.59
tthtobb,297.88
others,25808.78
