,1 ≤ Category < 2
data,33.0
hh4b,0.7
vbfhh4b-k2v0,13.36
qcd,1.6
ttbar,7.91
gghtobb,0.18
vbfhtobb,0.04
vhtobb,1.77
tthtobb,0.38
others,0.93
