,4 ≤ Category < 5
data,1001969.0
hh4b,4.54
qcd,899702.38
ttbar,53782.34
ttlep,14952.28
vhtobb,256.26
vjets,29073.68
diboson,906.61
novhhtobb,887.45
others,30867.74
