,Preselection,0.985 ≤ bb0FatJetPNetXbb < 1,0.985 ≤ bb1FatJetPNetXbb < 1,bb0FatJetPt >= 350,bb1FatJetPt >= 310,105 ≤ bb0FatJetPNetMass < 135
hh4b,3.54,2.59,0.78,0.73,0.72,0.5
qcd,893917.93,94407.49,194.42,180.77,170.47,47.9
data,674263.0,65136.0,180.0,165.0,164.0,31.0
ttbar,107194.9,10580.08,155.81,145.22,142.73,24.07
vjets,23115.89,5079.68,12.82,12.11,11.98,1.45
diboson,160.8,66.32,1.99,1.87,1.87,0.0
gghtobb,200.69,108.22,0.27,0.23,0.23,0.13
vbfhtobb,46.25,27.77,0.03,0.03,0.03,0.03
vhtobb,58.71,32.5,3.16,3.01,2.99,1.15
tthtobb,295.08,67.1,1.79,1.61,1.6,0.72
