,4 ≤ Category < 5
data,990876.0
hh4b,4.14
qcd,893156.3
ttbar,51745.01
ttlep,14368.39
vhtobb,254.59
vjets,28964.0
diboson,903.79
novhhtobb,885.56
others,30753.35
