,3 ≤ Category < 4
data,43860.0
hh4b,1.98
qcd,25507.99
ttbar,7421.44
ttlep,2296.64
vhtobb,14.82
vjets,557.77
diboson,28.66
novhhtobb,10.02
others,596.46
