,Skimmer Preselection,HLT
data,544180.0,316960.0
ttbar,11552.815185711683,10295.451792684595
ttlep,6041.799860571056,4803.621260588499
diboson,392.52166119127196,308.33630464440097
vjets,13179.25082744683,8681.704854356645
novhhtobb,287.73035693733357,260.50659502673835
tthtobb,73.02952024796394,67.60106261062543
vhtobb,87.9990998882892,78.96923826653
