,Skimmer Preselection,HLT
data,895354.0,616222.0
ttbar,20220.287085719046,25050.045409063296
ttlep,9098.465657694762,8230.933613507392
hh4b,4.175231826810016,4.142427538861467
diboson,598.619784100626,521.0214671209694
vjets,18955.948203512977,16814.070719738662
novhhtobb,418.7420041366717,405.3876426031456
tthtobb,113.20079758839364,111.31305931047117
vhtobb,130.75957553493154,125.6812611081523
qcd,736648.2450368251,486441.8723673588
