,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300,BDT > min,Bin VBF [105-150],Bin VBF,Bin 1,Bin 1 [105-150],VBF & Bin 1 overlap,Bin 2,Bin 2 [105-150],Bin 3,Bin 3 [105-150]
data,681676.0,681676.0,384358.0,233111.0,0.0,2.0,2.0,0.0,0.0,48.0,17.0,2574.0,894.0
ttbar,37398.2751,35932.2973,26394.6001,19461.3109,0.4503,1.2617,0.7754,0.528,0.0,17.0271,7.44,993.9132,401.3216
gghtobb,122.1861,115.7184,93.0347,88.4198,0.0,0.0,0.0,0.0,0.0,0.0501,0.0129,0.8223,0.3037
vbfhtobb,17.3927,16.8451,13.8438,12.8738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298,0.0
vhtobb,58.1193,55.9897,44.5687,43.2279,0.0267,0.0655,0.1922,0.0598,0.0009,0.5451,0.1633,2.4797,1.4008
novhhtobb,139.5788,137.8239,112.0561,106.669,0.0,0.0,0.0,0.0,0.0,0.0579,0.0179,0.7761,0.3078
tthtobb,89.595,84.7319,62.3413,52.0971,0.0042,0.0229,0.0798,0.0342,0.0,0.4332,0.1776,4.3679,1.7675
diboson,405.3248,408.3437,211.0375,130.4697,0.0,0.0242,0.0,0.0,0.0,0.1525,0.0,4.0689,1.0036
vjets,10958.0746,11264.6855,5584.5192,3475.815,0.0,0.0,0.1475,0.0966,0.0,1.1905,0.1942,30.4954,8.5147
hh4b,1.752,1.7934,1.4589,1.4529,0.0214,0.0256,0.1338,0.1153,0.0002,0.2599,0.2142,0.3516,0.2708
hh4b-kl0,2.0151,2.0032,1.599,1.5822,0.0275,0.0402,0.1136,0.1058,0.0,0.2865,0.2235,0.3793,0.2994
hh4b-kl2p45,1.3087,1.3429,1.0923,1.076,0.0163,0.0201,0.1034,0.0929,0.0,0.183,0.1458,0.2645,0.2053
hh4b-kl5,1.684,1.6403,1.2873,1.2411,0.0147,0.0187,0.0708,0.0608,0.0,0.1502,0.1183,0.2029,0.1571
vbfhh4b,0.0348,0.0363,0.0291,0.0282,0.0032,0.0037,0.0016,0.0014,0.0,0.0028,0.0023,0.0058,0.0046
vbfhh4b-k2v0,13.6828,15.6956,14.034,13.9223,4.1565,4.7038,1.1711,1.0128,0.0235,1.0922,0.943,2.8778,2.3936
vbfhh4b-k2v2,12.3001,14.198,12.7258,12.6242,3.9346,4.4498,1.0838,0.9406,0.0161,0.9298,0.8036,2.4917,2.0579
vbfhh4b-kl2,0.0423,0.0441,0.03,0.0276,0.0015,0.0016,0.0012,0.001,0.0,0.0014,0.0012,0.0029,0.0021
vbfhh4b-kv1p74-k2v1p37-kl14p4,19.3079,21.8335,19.3073,18.7524,6.4639,7.219,1.1723,0.9301,0.022,0.7443,0.6127,3.4521,2.8417
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0082,0.0095,0.0086,0.0085,0.0028,0.0032,0.0007,0.0006,0.0,0.0006,0.0005,0.0017,0.0014
vbfhh4b-kvm0p758-k2v1p44-klm19p3,25.8467,28.6613,24.5443,24.2179,5.3999,6.1418,2.1973,1.946,0.0223,2.4119,2.029,4.8693,4.0063
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.0327,0.0337,0.0269,0.0257,0.0036,0.0039,0.0014,0.0012,0.0,0.0018,0.0016,0.0036,0.0028
vbfhh4b-kvm1p21-k2v1p94-klm0p94,2.3145,2.6742,2.4066,2.3853,0.7483,0.8419,0.2072,0.1791,0.0027,0.1686,0.143,0.4656,0.3901
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.2523,0.2794,0.2333,0.2284,0.0505,0.0556,0.0159,0.0143,0.0,0.0171,0.0135,0.0388,0.0302
vbfhh4b-kvm2p12-k2v3p87-klm5p96,2.3184,2.5112,2.113,2.0785,0.3833,0.4258,0.1843,0.1645,0.0011,0.2422,0.2022,0.4838,0.3879
