,1 ≤ Category < 2
data,23.0
hh4b,0.65
vbfhh4b-k2v0,12.76
qcd,3.08
ttbar,5.33
gghtobb,0.16
vbfhtobb,0.03
vhtobb,1.58
novhhtobb,0.2
tthtobb,0.36
diboson,0.12
vjets,0.48
