,2 ≤ Category < 3
data,291.0
hh4b,1.48
vbfhh4b-k2v0,19.28
qcd,85.68
ttbar,71.69
gghtobb,1.45
vbfhtobb,0.07
vhtobb,4.04
tthtobb,3.57
others,8.34
