,4 ≤ Category < 5
data,1260566.0
hh4b,4.41
vbfhh4b-k2v0,35.09
qcd,770893.07
ttbar,86255.34
gghtobb,577.32
vbfhtobb,86.17
vhtobb,283.11
novhhtobb,663.48
tthtobb,295.47
diboson,781.47
vjets,23155.38
