,3 ≤ Category < 4
data,9618.0
hh4b,2.14
vbfhh4b-k2v0,26.32
qcd,2923.39
ttbar,3005.46
gghtobb,4.28
vbfhtobb,0.24
vhtobb,15.21
tthtobb,18.38
others,199.9
