,Skimmer Preselection,HLT,H1Msd > 40 & Pt > 300,Bin 1,Bin 1 [110-140],Bin 2,Bin 2 [110-140],Bin 3,Bin 3 [110-140]
qcd,801070.0113698596,715266.594436516,651376.2931330258,0.5084207061911631,0.022243413091325354,33.918843868651386,7.455007275135418,348615.7404243383,74885.42461467987
data,1211253.0,1086898.0,986200.0,11.0,1.0,104.0,26.0,560416.0,118676.0
ttbar,73558.57435693235,71191.43184730638,68569.95852494017,1.5899070644799016,0.6689843683755012,26.742272084422318,8.629636541922276,44473.31290544904,9799.21424141282
gghtobb,295.34944659356086,287.3346446932861,277.6654905066094,0.0,0.0,0.66678850661376,0.10166929580528153,262.21843238274687,55.67496141351748
vbfhtobb,44.16352155103003,42.67271995491446,41.00418525810111,0.030733788951604776,0.0,0.0,0.0,37.851204669698866,6.775918455273235
vhtobb,154.57994344298038,150.45431768311184,143.9009488283394,0.44318653636116373,0.06322033300458564,1.5306114274486062,0.2594745466067382,135.61524146105293,12.188192817922278
novhhtobb,339.5129681445909,330.00736464820056,318.6696757647105,0.030733788951604776,0.0,0.66678850661376,0.10166929580528153,300.0696370524457,62.45087986879073
tthtobb,186.553557412689,183.6164945956224,175.69055949467167,0.08566521415473909,0.03509881649058515,1.4105564155041816,0.36144098617611164,139.97517073668212,31.370770716693194
diboson,731.7288742228686,678.12627520304,606.9024962157049,0.061779339182664435,0.0,0.1527141040248929,0.0,362.28075730631207,39.2920813505652
vjets,19399.89446255538,18071.95456190398,16378.24529245469,0.3144235656415354,0.0,2.9153811147778996,1.1225996890466792,11316.122136836888,2227.957901452144
hh4b,3.968731701273867,3.956044373012574,3.7698159821294484,0.20305278541549424,0.15088238233127238,0.554583140185397,0.3770434850237494,2.8424982522837583,1.3645491259396718
vbfhh4b-k2v0,40.823802840636745,40.649196636382214,38.09515002854958,0.7148128460442729,0.5542757380890551,3.449827145433825,2.4924179081019853,21.9492508709217,13.426043668413985
