,4 ≤ Category < 5
data,1211708.0
hh4b,2.64
vbfhh4b-k2v0,16.95
qcd,756326.36
ttbar,64876.3
gghtobb,568.54
vbfhtobb,85.27
vhtobb,269.49
tthtobb,232.38
others,24102.1
