,2 ≤ Category < 3
data,274.0
hh4b,1.31
vbfhh4b-k2v0,19.58
qcd,149.13
ttbar,49.89
gghtobb,1.6
vbfhtobb,0.12
vhtobb,4.24
tthtobb,5.45
others,9.35
