,3 ≤ Category < 4
data,58506.0
hh4b,4.29
vbfhh4b-k2v0,48.18
qcd,17427.89
ttbar,15227.44
gghtobb,12.95
vbfhtobb,1.08
vhtobb,29.18
tthtobb,79.71
others,697.5
