,1 ≤ Category < 2
data,10.0
hh4b,0.44
vbfhh4b-k2v0,8.74
qcd,1.84
ttbar,1.41
gghtobb,0.12
vbfhtobb,0.03
vhtobb,1.02
tthtobb,0.23
others,0.42
