,4 ≤ Category < 5,4 ≤ Category_JES_down < 5
data,373492.0,
hh4b,,1.68
hh4b-kl0,,2.24
hh4b-kl2p45,,1.27
hh4b-kl5,,1.66
vbfhh4b,,0.03
vbfhh4b-k2v0,,10.97
vbfhh4b-kv1p74-k2v1p37-kl14p4,,15.21
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,20.97
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.03
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,1.92
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.22
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.97
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,22.81
ttbar,,36357.41
gghtobb,,167.36
vbfhtobb,,21.78
vhtobb,,89.41
novhhtobb,,165.45
tthtobb,,104.67
zz,,71.94
nozzdiboson,,191.66
vjets,,8658.41
