,Skimmer Preselection,HLT
data,355779.0,338629.0
ttbar,20520.791798497954,19944.33048032816
gghtobb,81.85633873496599,79.57236030568268
vbfhtobb,12.824184910751978,12.59140463997654
vhtobb,43.51808832914598,42.54523522703985
novhhtobb,94.68052364571795,92.16376494565922
tthtobb,56.3884414304613,55.479356324185716
diboson,197.849143183725,187.25578073429853
vjets,5225.23247426371,4867.456198043347
vbfhh4b-k2v0,12.42218694639262,12.371268089842847
