,Preselection,bb0FatJetPNetXbb >= 0.985,bb1FatJetPNetXbb >= 0.985,100 ≤ bb0FatJetPNetMass < 150
hh4b,26.132886668701822,16.39164864743239,4.142835667485509,3.9729164173337934
qcd,580560.9457212553,53570.377527259334,59.437628313977925,36.13283919965856
data,786252.0,66518.0,160.0,66.0
ttbar,74234.6696337026,5936.836482440436,68.06390731478362,25.41539576971588
gghtobb,261.1873205270148,124.34127917874,0.0,0.0
vbfhtobb,35.34393192932357,20.25845066163445,0.0,0.0
vhtobb,115.01901766220054,56.73656730309162,3.0023203567164907,1.6094528587192007
tthtobb,184.33862454198245,37.08582208198602,0.7919068564362178,0.553602475248665
diboson,601.4498702327961,185.88158334668165,1.4074250193383757,0.2565988568197911
vjets,15204.465593263712,3625.0129695287023,5.6357636061740815,1.6245801206170116
