,1 ≤ Category < 2
data,22.0
hh4b,0.64
vbfhh4b-k2v0,12.4
qcd,2.18
ttbar,4.59
gghtobb,0.16
vbfhtobb,0.03
vhtobb,1.56
novhhtobb,0.19
tthtobb,0.37
diboson,0.12
vjets,0.34
