,3 ≤ Category < 4
data,8881.0
hh4b,2.03
vbfhh4b-k2v0,24.33
qcd,3100.59
ttbar,2729.59
gghtobb,4.21
vbfhtobb,0.2
vhtobb,14.69
novhhtobb,4.41
tthtobb,18.19
diboson,22.46
vjets,156.01
