,Skimmer Preselection,HLT,H1Msd > 30,H2Msd > 30
data,258124.0,189579.0,137226.0,90316.0
ttbar,6157.568049375361,6006.966598259159,5705.797263130025,5125.626845423569
ttlep,2799.9353062801933,2654.9058405651804,2409.30403030326,2031.7106937844248
