,Skimmer Preselection,HLT,H1Msd > 30,H2Msd > 30
data,491847.0,291369.0,235743.0,160476.0
ttbar,11462.141085711759,10226.501709092488,9816.588869167914,8786.056141724175
ttlep,5814.360090725518,4657.008225958529,4296.218698745798,3614.3250847874365
