,Skimmer Preselection,HLT,H1Msd > 30,H2Msd > 30
data,206092.0,122345.0,103701.0,70493.0
ttbar,5318.627856310099,4735.175407322366,4542.394947530178,4064.5594826629676
ttlep,2725.8269663545543,2188.8206457486094,2016.5105463526793,1694.7573377661001
