,3 ≤ Category < 4
data,33667.0
hh4b,2.41
qcd,19265.14
ttbar,5678.15
ttlep,1809.37
vhtobb,15.45
vjets,460.46
diboson,27.08
novhhtobb,9.67
others,497.2
