,1 ≤ Category < 2
data,37.0
hh4b,0.86
vbfhh4b-k2v0,14.89
ttbar,8.3
gghtobb,0.31
vbfhtobb,0.04
vhtobb,1.93
tthtobb,0.62
others,0.9
