,3 ≤ Category < 4
data,9607.0
hh4b,2.06
vbfhh4b-k2v0,25.15
ttbar,2998.92
gghtobb,4.3
vbfhtobb,0.23
vhtobb,14.99
tthtobb,18.45
others,199.08
