,2 ≤ Category < 3
data,288.0
hh4b,1.35
vbfhh4b-k2v0,18.32
qcd,73.43
ttbar,75.26
gghtobb,1.28
vbfhtobb,0.07
vhtobb,3.9
tthtobb,3.24
others,9.06
