,2 ≤ Category < 3,2 ≤ Category_JMR_up < 3
data,59.0,
hh4b,,0.52
hh4b-kl0,,0.7
hh4b-kl2p45,,0.39
hh4b-kl5,,0.3
vbfhh4b,,0.0
vbfhh4b-k2v0,,1.48
vbfhh4b-kv1p74-k2v1p37-kl14p4,,1.04
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,3.2
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.24
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.02
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.12
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,3.74
ttbar,7.62,
gghtobb,0.34,
vbfhtobb,0.03,
vhtobb,,1.78
novhhtobb,0.43,
tthtobb,0.53,
zz,,1.0
nozzdiboson,,0.0
vjets,2.93,
