,Skimmer Preselection,HLT,350 ≤ bbFatJetPt_JES_down0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,4599180.0,4377324.0,791824.0,529245.0,2827.0
ttbar,46570.79,41826.95,8642.48,6160.53,28.44
qcd,3307620.01,3183091.09,493098.47,323598.95,2036.9
hbb,340.06,299.06,52.44,47.42,7.04
Zto2Q,33275.62,31027.73,5312.35,4253.24,204.73
Wto2Q,47182.68,45512.63,7091.05,5398.27,9.32
Zto2Q_BB,11146.23,9918.65,1710.94,1612.43,193.23
Zto2Q_CC,5272.89,4919.67,790.78,753.93,5.36
Zto2Q_QQ,3179.56,3089.75,397.03,369.05,0.23
Zto2Q_unmatched,13676.94,13099.66,2413.6,1517.83,5.91
