,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMR_up0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,1441017.0,785928.0,1237.0
ttbar,14524.48,5846.28,2.46
qcd,1171680.25,630199.84,687.71
hbb,104.92,94.46,16.86
Zto2Q,11970.16,8121.88,547.32
Wto2Q,18915.09,12845.85,11.17
Zto2Q_BB,3873.44,2924.32,534.65
Zto2Q_CC,2001.74,1664.45,9.96
Zto2Q_QQ,1503.29,1235.19,0.25
Zto2Q_unmatched,4591.68,2297.91,2.46
