,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMS_up0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,1441017.0,785928.0,1925.0
ttbar,14524.48,5724.6,7.58
qcd,1171680.25,630199.84,1656.59
hbb,104.92,94.33,15.46
Zto2Q,11970.16,8102.25,364.13
Wto2Q,18915.09,12822.3,31.08
Zto2Q_BB,3873.44,2915.35,342.0
Zto2Q_CC,2001.74,1661.82,15.39
Zto2Q_QQ,1503.29,1233.28,1.07
Zto2Q_unmatched,4591.68,2291.8,5.67
