,Skimmer Preselection,HLT,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMS_up0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,4599180.0,4377324.0,1680514.0,1035207.0,1278.0
ttbar,46570.79,41826.95,14354.06,7638.45,2.24
qcd,3307620.01,3183091.09,1242115.85,753881.8,746.94
hbb,340.06,299.06,130.33,117.05,12.21
Zto2Q,33275.62,31027.73,10854.12,8180.23,391.47
Wto2Q,47182.68,45512.63,15709.3,11533.46,12.93
Zto2Q_BB,11146.23,9918.65,3522.01,3046.29,385.78
Zto2Q_CC,5272.89,4919.67,1760.68,1585.92,4.46
Zto2Q_QQ,3179.56,3089.75,1020.88,897.09,0.0
Zto2Q_unmatched,13676.94,13099.66,4550.55,2650.92,1.24
